emp_no,dept_no,,emp_no,vlookup
10002,d007,,473302,#N/A
10003,d004,,475053,#N/A
10005,d003,,57444,#N/A
10008,d005,,263976,#N/A
10014,d005,,13616,#N/A
10015,d008,,246449,#N/A
10016,d007,,21529,#N/A
10017,d001,,17934,#N/A
10018,d004,,48085,#N/A
10018,d005,,239838,#N/A
10019,d008,,240129,#N/A
10022,d005,,424270,#N/A
10023,d005,,71530,#N/A
10027,d005,,214555,#N/A
10030,d004,,67799,10030
10031,d005,,37061,10031
10033,d006,,422587,#N/A
10035,d004,,105597,#N/A
10038,d009,,244492,#N/A
10040,d005,,95280,#N/A
10040,d008,,37473,#N/A
10041,d007,,43471,10041
10044,d004,,465253,#N/A
10045,d004,,444985,10045
10048,d005,,425023,10048
10056,d005,,222134,10056
10057,d005,,465348,10057
10058,d001,,92149,#N/A
10061,d007,,85093,#N/A
10062,d005,,281320,#N/A
10063,d004,,402202,#N/A
10065,d005,,451259,#N/A
10066,d005,,225842,10066
10072,d005,,223670,10072
10074,d005,,403328,#N/A
10075,d005,,292694,10075
10078,d005,,37601,#N/A
10079,d005,,437985,#N/A
10081,d004,,62117,#N/A
10088,d007,,11980,#N/A
10088,d009,,270258,#N/A
10090,d005,,457800,#N/A
10098,d004,,451340,10098
10098,d009,,413842,10098
10099,d007,,464798,#N/A
10100,d003,,37176,10100
10101,d007,,109820,#N/A
10102,d004,,246896,10102
10105,d003,,109600,#N/A
10108,d001,,287414,#N/A
10108,d003,,210499,#N/A
10109,d004,,268566,10109
10111,d006,,214747,10111
10112,d009,,231751,10112
10115,d009,,98882,#N/A
10119,d004,,211383,10119
10120,d004,,452859,10120
10121,d005,,11842,#N/A
10122,d005,,439095,#N/A
10123,d004,,427027,#N/A
10126,d009,,439788,#N/A
10127,d005,,431759,#N/A
10129,d005,,416364,#N/A
10132,d002,,22638,#N/A
10133,d004,,205714,#N/A
10134,d004,,218042,10134
10134,d005,,36965,10134
10135,d004,,218058,#N/A
10140,d001,,286451,#N/A
10141,d008,,30871,#N/A
10142,d005,,260621,10142
10143,d005,,24103,10143
10144,d002,,78524,#N/A
10144,d003,,494351,#N/A
10145,d005,,239616,10145
10146,d002,,469619,#N/A
10147,d002,,36372,#N/A
10151,d007,,279559,#N/A
10152,d006,,421244,#N/A
10156,d006,,486205,#N/A
10157,d005,,295979,#N/A
10158,d004,,486568,10158
10160,d007,,285571,#N/A
10161,d004,,13503,#N/A
10162,d004,,478993,#N/A
10164,d004,,19442,10164
10164,d009,,476968,10164
10165,d002,,10202,#N/A
10167,d004,,93898,#N/A
10170,d004,,272646,10170
10171,d004,,461800,#N/A
10172,d005,,452506,#N/A
10172,d008,,46470,#N/A
10173,d002,,251789,#N/A
10175,d001,,437837,#N/A
10177,d002,,493133,#N/A
10178,d007,,293313,10178
10179,d005,,240358,10179
10182,d005,,45051,#N/A
10182,d008,,468780,#N/A
10184,d009,,11079,#N/A
10185,d007,,210347,10185
10187,d002,,248886,10187
10188,d004,,435490,10188
10192,d004,,455423,#N/A
10192,d006,,484774,#N/A
10194,d002,,282829,#N/A
10196,d002,,52254,10196
10198,d005,,57730,10198
10200,d004,,279067,#N/A
10200,d006,,422297,#N/A
10201,d005,,414400,10201
10203,d008,,458896,10203
10204,d005,,293092,10204
10206,d005,,496147,10206
10208,d001,,428991,10208
10211,d005,,472397,#N/A
10212,d005,,40014,#N/A
10213,d009,,41622,#N/A
10214,d007,,446342,10214
10215,d007,,494817,#N/A
10217,d004,,207377,10217
10218,d004,,486617,#N/A
10219,d005,,283440,#N/A
10219,d009,,96561,#N/A
10220,d002,,258170,#N/A
10221,d004,,204958,10221
10222,d004,,442026,10222
10223,d005,,85808,10223
10225,d009,,64385,10225
10226,d007,,405965,10226
10228,d001,,11012,10228
10228,d007,,268613,10228
10230,d008,,67762,#N/A
10233,d003,,298781,10233
10235,d004,,85630,#N/A
10236,d007,,446313,#N/A
10237,d007,,10571,#N/A
10240,d006,,484430,10240
10241,d002,,35711,#N/A
10242,d004,,462013,#N/A
10243,d007,,234161,10243
10244,d005,,93255,#N/A
10245,d008,,210276,#N/A
10246,d004,,14193,#N/A
10252,d004,,475572,#N/A
10253,d007,,262519,#N/A
10255,d004,,70498,10255
10258,d005,,255456,#N/A
10264,d005,,447021,10264
10265,d006,,292420,#N/A
10267,d004,,285589,#N/A
10268,d004,,213776,10268
10268,d005,,297557,10268
10269,d004,,201423,#N/A
10270,d007,,459789,#N/A
10271,d005,,438835,#N/A
10276,d005,,293141,#N/A
10284,d004,,272976,#N/A
10285,d008,,268856,#N/A
10288,d004,,287553,#N/A
10289,d005,,290340,#N/A
10290,d005,,418656,#N/A
10293,d004,,64364,10293
10297,d004,,238234,#N/A
10299,d007,,19712,#N/A
10300,d004,,482398,10300
10303,d004,,410614,#N/A
10304,d007,,51841,#N/A
10306,d007,,231612,#N/A
10308,d007,,88922,#N/A
10309,d005,,283262,#N/A
10315,d005,,499788,10315
10317,d004,,288054,#N/A
10317,d008,,238612,#N/A
10319,d007,,405029,#N/A
10322,d005,,476669,10322
10323,d004,,30512,10323
10324,d005,,253805,#N/A
10326,d008,,86440,10326
10328,d005,,75099,#N/A
10329,d004,,72141,10329
10330,d007,,261049,#N/A
10331,d007,,441769,#N/A
10332,d004,,419093,#N/A
10333,d005,,430062,10333
10336,d008,,33014,#N/A
10339,d004,,454407,10339
10340,d001,,277149,#N/A
10341,d004,,218904,#N/A
10344,d004,,421718,#N/A
10344,d006,,66094,#N/A
10348,d004,,66872,10348
10351,d002,,32627,#N/A
10352,d005,,280330,#N/A
10353,d001,,491499,#N/A
10358,d005,,45381,#N/A
10361,d007,,429536,#N/A
10362,d003,,241350,#N/A
10363,d004,,231552,#N/A
10363,d006,,430657,#N/A
10364,d004,,65328,#N/A
10365,d008,,461247,10365
10366,d005,,494822,#N/A
10368,d004,,402841,#N/A
10371,d004,,105131,#N/A
10372,d004,,39966,10372
10374,d007,,49123,10374
10374,d009,,40518,10374
10376,d004,,461748,10376
10377,d004,,220038,#N/A
10378,d007,,459196,#N/A
10379,d005,,262129,#N/A
10381,d004,,442633,10381
10382,d004,,204079,10382
10382,d009,,481729,10382
10383,d004,,479077,10383
10384,d001,,418592,10384
10385,d004,,61928,#N/A
10386,d005,,70241,#N/A
10393,d004,,61030,#N/A
10399,d007,,407081,10399
10400,d007,,439171,10400
10401,d006,,221980,#N/A
10402,d006,,48349,#N/A
10403,d002,,405704,#N/A
10403,d007,,413161,#N/A
10404,d005,,443135,#N/A
10406,d006,,202280,10406
